codigo,asignatura,jv1,acum
2400311,ingles_avanzado,1.7,0.42
2400311,lengua_castellana,3.4,0.85
2400311,logica_matematica,2.2,0.55
2400311,programacion,2.9,0.72
2400311,quimica,3.2,0.8
2400311,teatro,3.9,0.97
2400311,trigonometria,2.9,0.72
2500352,ciencias_politicas_economicas,3.9,0.97
2500352,competencias_ciudadanas,3.8,0.95
2500352,dibujo,4.5,1.12
2500352,educacion_etica_religiosa,2.9,0.72
2500352,educacion_fisica_rd,3.6,0.9
2500352,electronica,3.3,0.82
2500352,filosofia,3.0,0.75
2500352,fisica,2.0,0.5
2500352,informatica_tecnologia,4.1,1.02
2500352,ingles_avanzado,2.8,0.7
2500352,lengua_castellana,3.7,0.92
2500352,logica_matematica,2.2,0.55
2500352,programacion,2.8,0.7
2500352,quimica,4.0,1.0
2500352,teatro,3.1,0.77
2500352,trigonometria,2.3,0.57
2500403,ciencias_politicas_economicas,4.3,1.07
2500403,competencias_ciudadanas,3.4,0.85
2500403,dibujo,4.5,1.12
2500403,educacion_etica_religiosa,4.5,1.12
2500403,educacion_fisica_rd,3.9,0.97
2500403,electronica,3.4,0.85
2500403,filosofia,4.9,1.22
2500403,fisica,2.2,0.55
2500403,informatica_tecnologia,3.5,0.87
2500403,ingles_avanzado,2.7,0.67
2500403,lengua_castellana,3.8,0.95
2500403,logica_matematica,2.8,0.7
2500403,programacion,3.4,0.85
2500403,quimica,3.9,0.97
2500403,teatro,4.0,1.0
2500403,trigonometria,2.5,0.62
2600054,ciencias_politicas_economicas,4.1,1.02
2600054,competencias_ciudadanas,3.9,0.97
2600054,dibujo,4.0,1.0
2600054,educacion_etica_religiosa,2.3,0.57
2600054,educacion_fisica_rd,4.0,1.0
2600054,electronica,2.8,0.7
2600054,filosofia,3.1,0.77
2600054,fisica,2.5,0.62
2600054,informatica_tecnologia,3.5,0.87
2600054,ingles_avanzado,2.8,0.7
2600054,lengua_castellana,3.3,0.82
2600054,logica_matematica,3.1,0.77
2600054,programacion,2.9,0.72
2600054,quimica,2.8,0.7
2600054,teatro,3.9,0.97
2600054,trigonometria,2.3,0.57
2600055,ciencias_politicas_economicas,4.1,1.02
2600055,competencias_ciudadanas,3.8,0.95
2600055,dibujo,3.9,0.97
2600055,educacion_etica_religiosa,3.1,0.77
2600055,educacion_fisica_rd,4.2,1.05
2600055,electronica,3.3,0.82
2600055,filosofia,4.1,1.02
2600055,fisica,2.7,0.67
2600055,informatica_tecnologia,4.0,1.0
2600055,ingles_avanzado,3.0,0.75
2600055,lengua_castellana,3.1,0.77
2600055,logica_matematica,2.5,0.62
